name,PID,pro_url,price,image
"Bluestar 1 Ton Portable AC with Quick Cooling, Anti-Bacterial Silver Coating, Castor Wheels for Easy Movement (PC12DB)",13014,Blue Star 1 Ton Portable Air Conditioner (PC12DB),39000.0,e3bec74f-6419-4b2d-b1dd-a77daa90a216.jpg
"Votas 1.5 Ton (5 Star - Inverter) 2 in 1 Adjustable Split AC with Turbo Cooling and Airflow, 100% Copper Condenser (185V Vertis Elite)",22722,Voltas 1.5 Ton 5 Star Widow Inverter Air Conditioner (185V-VERTISELITE15TW),49990.0,3e096959-1516-4ac3-b059-bbe0a516229022150452.jpg
Hitachi 1.5 Ton 5 Star Split Inverter Air Conditioner (RSRG518FFEO),20427,Hitachi 1.5 Ton 5 Star Split Inverter Air Conditioner (RSRG518FFEO),71900.0,41045fe4-b0bc-49ce-a4c6-83e53f02a97d22201139.jpg
Blue Star 1 Ton 2 Star Window Air Conditioner (WFA212LN),22436,Blue Star 1 Ton 2 Star Window Air Conditioner (WFA212LN),31000.0,f8f5a678-1912-41e3-beb8-880fc107b0f922140718.jpg
Candy 1 Ton 3 Star Split Inverter Air Conditioner (C12S3IN-CG),20914,Candy 1 Ton 3 Star Split Inverter Air Conditioner (C12S3IN-CG),37000.0,9df2273e-6a03-4c9c-a399-8bcef4746db722280518.jpg
Blue Star 1 Ton 3 Star Window Air Conditioner (WFA312LL),19446,Blue Star 1 Ton 3 Star Window Air Conditioner (WFA312LL),31000.0,6dcd3ada-93c3-4bdf-88cf-c23ef5f3d10722070541.jpg
Haier 1 Ton 3 Star Split Air Conditioner (HSU12T-TQS3B),20422,Haier 1 Ton 3 Star Split Air Conditioner (HSU12T-TQS3B),54490.0,f26c37bd-ea3a-4352-a195-9edd2980415022201120.jpg
Candy 1.5 Ton 3 Star Split Inverter Air Conditioner (C18F13INV),20915,Candy 1.5 Ton 3 Star Split Inverter Air Conditioner (C18F13INV),43000.0,bccf7d13-5ce9-48ea-86a8-c3225c6f20d522280522.jpg
Voltas 1 Ton 3 Star Window Air Conditioner (123VECTRAPRIDE1TW),22701,Voltas 1 Ton 3 Star Window Air Conditioner (123VECTRAPRIDE1TW),35990.0,0d76e767-d3ba-421c-ba93-79d7a3d490a022121033.jpg
Blue Star 1 Ton 5 Star Window Air Conditioner (WFA512LL),19448,Blue Star 1 Ton 5 Star Window Air Conditioner (WFA512LL),35000.0,c5af5260-69ea-4670-b680-55d32c150a2622070549.jpg
Hitachi 1 Ton 3 Star Window Air Conditioner (RAW312HEDO),16394,Hitachi 1 Ton 3 Star Window Air Conditioner (RAW312HEDO),28900.0,ba915895-e71e-4ea8-96e7-4e627fe6e7d1.jpg
"Voltas All Weather 1 Ton (3 Star) Split AC with High Ambient Cooling, 100% Copper Condenser, Anti Microbial Air Filteration (123 CZP)",17412,Voltas 1 Ton 3 Star Split Air Conditioner (123CZP),54990.0,58fdd8a7-e2e4-4c6c-a32a-9692db66143921160806.jpg
Voltas 1 Ton 3 Star Split Inverter Air Conditioner (123VCAZX1TSPL),22379,Voltas 1 Ton 3 Star Split Inverter Air Conditioner (123VCAZX1TSPL),54990.0,61a4e154-b0dc-4a3b-9232-8781ab27e3f322071053.jpg
Haier 1.5 Ton 3 Star Window Air Conditioner with Long Air Throw & Micro Anti-Bacterial Dust Filter (HWU18TF-EW3BE),23372,Haier 1.5 Ton 3 Star Window Air Conditioner with Long Air Throw & Micro Anti-Bacterial Dust Filter (HWU18TF-EW3BE),42000.0,c8dc6c62-74e0-4371-a75e-2055a165ed3d23270740.jpg
Amstrad 1 Ton 3 Star Split Inverter Air Conditioner (AM13I3CHP),19724,Amstrad 1 Ton 3 Star Split Inverter Air Conditioner (AM13I3CHP),54990.0,62bf2990-217d-4d28-9875-431bfe89af1e22311224.jpg
"Voltas 1.5 Ton 3 Star Window Air Conditioner with High Ambient Cooling, LED Indicator, Self Diagnosis (183VECTRAELITE15TW)",22769,"Voltas 1.5 Ton 3 Star Window Air Conditioner with High Ambient Cooling, LED Indicator, Self Diagnosis (183VECTRAELITE15TW)",42990.0,cd8b2242-b5d0-42c1-8098-44400a37d45122190821.jpg
"Voltas All Weather 1 Ton (3 Star) Split AC with 100% Copper Condenser, High Ambient Cooling, Anti Microbial Air Filteration (123 CZR)",14981,Voltas 1 Ton 3 Star Split Air Conditioner (123CZR),54990.0,210f680d-1010-4e52-b8af-c73e84dc466c22181133.jpg
IFB 1 Ton 3 Star Split Inverter Air Conditioner (CI1232D113G1),20124,IFB 1 Ton 3 Star Split Inverter Air Conditioner (CI1232D113G1),38690.0,636a5148-1b11-4013-86bb-c2a7d809b91622050822.jpg
Candy 1.5 Ton 4 Star Split Inverter Air Conditioner (C18S4INCG),20916,Candy 1.5 Ton 4 Star Split Inverter Air Conditioner (C18S4INCG),46000.0,29eae870-1c29-4d20-bc57-c956232f0edb22280529.jpg
Hitachi 1 Ton 3 Star Split Air Conditioner (RAFG312HEDO),19982,Hitachi 1 Ton 3 Star Split Air Conditioner (RAFG312HEDO),43490.0,b37cf0dd-3114-439c-ae8b-460a0b3bab9b22241018.jpg
"Voltas 1.5 Ton (3 Star - Inverter) Adjustable Split AC with Turbo Cooling, 100% Copper Condenser, High Ambient Cooling (183V CAZP)",19870,Voltas 1.5 Ton 3 Star Split Inverter Air Conditioner (183VCAZP),64990.0,29d629c2-9b7c-4584-917c-d6d06be403fb22120652.jpg
Godrej 1.5 Ton 3 Star Split Inverter Air Conditioner (GIC18TTC3-W),22346,Godrej 1.5 Ton 3 Star Split Inverter Air Conditioner (GIC18TTC3-W),42900.0,adcee83c-22b4-4763-832e-5ee6b9d355e022031124.jpg
"LG 1 Ton (5 Star - DUAL Inverter) 4 in 1 Convertible Window Smart AC with ThinQ (Wi-Fi), 100% Copper Tubes, Super Silent Operation (PW-Q12WUZA)",19572,LG 1 Ton 5 Star Window Inverter Air Conditioner (PWQ12WUZA),56990.0,42e2104c-b47d-4a37-a70b-958539d5859e22160626.jpg
"Blue Star 1 Ton 3 Star Split Inverter Air Conditioner with 4 in 1 Convertible, Rotary Compressor & Dust Filter (IA312VNU)",23020,"Blue Star 1 Ton 3 Star Split Inverter Air Conditioner with 4 in 1 Convertible, Rotary Compressor & Dust Filter (IA312VNU)",51750.0,91025045-954b-46ec-b838-bf42c8b8787f22261231.jpg
Amstrad 1.5 Ton 2 Star Split Air Conditioner (AM20F2CHP),20637,Amstrad 1.5 Ton 2 Star Split Air Conditioner (AM20F2CHP),61990.0,7ddd5d73-df7a-4bd7-9a36-7983cfbd9ef222021105.jpg
"Godrej 1.5 Ton (3 Star) Window AC with Anti Dust Filter, Self Diagnosis, Rotary Compressor, 100% Copper Coil (WIC18UTC3-W)",23801,"Godrej 1.5 Ton (3 Star) Window AC with Anti Dust Filter, Self Diagnosis, Rotary Compressor, 100% Copper Coil (WIC18UTC3-W)",46900.0,582ba166-cb0d-4f47-be1d-811df947812c23031130.jpg
"Voltas 1.5 Ton (3 Star - Inverter) Adjustable Split AC with Turbo Cooling, 100% Copper Condenser, Anti Microbial Air Filteration (183V CAZZ)",19873,Voltas 1.5 Ton 3 Star Split Inverter Air Conditioner (183VCAZZ),61990.0,1e917503-00c3-4b67-a7dd-799034c936a722120700.jpg
